title,abstract,year,journal,cluster,top_terms
Potential roles of neuronal nitric oxide synthase and the PTEN-induced kinase 1 (PINK1)/Parkin pathway for mitochondrial protein degradation in disuse-induced  soleus muscle atrophy in adult rats.,"Excessive nitric oxide (NO) production and mitochondrial dysfunction can activate protein degradation in disuse-induced skeletal muscle atrophy. However, the  increase in NO production in atrophied muscles remains controversial. In  addition, although several studies have investigated the PTEN-induced kinase 1  (PINK1)/Parkin pathway, a mitophagy pathway, in atrophied muscle, the involvement  of this pathway in soleus muscle atrophy is unclear. In this study, we  investigated the involvement of neuronal nitric oxide synthase (nNOS) and the  PINK1/Parkin pathway in soleus muscle atrophy induced by 14 days of hindlimb  unloading (HU) in adult rats. HU lowered the weight of the soleus muscles. nNOS  expression showed an increase in atrophied soleus muscles. Although HU increased  malondialdehyde as oxidative modification of the protein, it decreased  6-nitrotryptophan, a marker of protein nitration. Additionally, the  nitrosocysteine content and S-nitrosylated Parkin were not altered, suggesting  the absence of excessive nitrosative stress after HU. The expression of PINK1 and  Parkin was also unchanged, whereas the expression of heat shock protein 70  (HSP70), which is required for Parkin activity, was reduced in atrophied soleus  muscles. Moreover, we observed accumulation and reduced ubiquitination of high  molecular weight mitofusin 2, which is a target of Parkin, in atrophied soleus  muscles. These results indicate that excessive NO is not produced in atrophied  soleus muscles despite nNOS accumulation, suggesting that excessive NO dose not  mediate in soleus muscle atrophy at least after 14 days of HU. Furthermore, the  PINK1/Parkin pathway may not play a role in mitophagy at this time point. In  contrast, the activity of Parkin may be downregulated because of reduced HSP70  expression, which may contribute to attenuated degradation of target proteins in  the atrophied soleus muscles after 14 days of HU. The present study provides new  insights into the roles of nNOS and a protein degradation pathway in soleus  muscle atrophy.",2020,PloS one,1,hu; expression; unloading; skeletal; skeletal muscle
Inhibition of autophagy delays motoneuron degeneration and extends lifespan in a mouse model of spinal muscular atrophy.,"Spinal muscular atrophy (SMA) is a recessive autosomal neuromuscular disease, due to homozygous mutations or deletions in the telomeric survival motoneuron gene 1  (SMN1). SMA is characterized by motor impairment, muscle atrophy, and premature  death following motor neuron (MN) degeneration. Emerging evidence suggests that  dysregulation of autophagy contributes to MN degeneration. We here investigated  the role of autophagy in the SMNdelta7 mouse model of SMA II (intermediate form  of the disease) which leads to motor impairment by postnatal day 5 (P5) and to  death by P13. We first showed by immunoblots that Beclin 1 and LC3-II expression  levels increased in the lumbar spinal cord of the SMA pups. Electron microscopy  and immunofluorescence studies confirmed that autophagic markers were enhanced in  the ventral horn of SMA pups. To clarify the role of autophagy, we administered  intracerebroventricularly (at P3) either an autophagy inhibitor (3-methyladenine,  3-MA), or an autophagy inducer (rapamycin) in SMA pups. Motor behavior was  assessed daily with different tests: tail suspension, righting reflex, and  hindlimb suspension tests. 3-MA significantly improved motor performance,  extended the lifespan, and delayed MN death in lumbar spinal cord  (10372.36 ± 2716 MNs) compared to control-group (5148.38 ± 94 MNs). Inhibition of  autophagy by 3-MA suppressed autophagosome formation, reduced the apoptotic  activation (cleaved caspase-3 and Bcl2) and the appearance of terminal  deoxynucleotidyl transferase dUTP nick end labeling (TUNEL)-positive neurons,  underlining that apoptosis and autophagy pathways are intricately intertwined.  Therefore, autophagy is likely involved in MN death in SMA II, suggesting that it  might represent a promising target for delaying the progression of SMA in humans  as well.",2017,Cell death & disease,0,recovery; reloading; mass; muscle mass; mice
Intramyocellular ceramides and skeletal muscle mitochondrial respiration are partially regulated by Toll-like receptor 4 during hindlimb unloading.,"Physical inactivity and disuse result in skeletal muscle metabolic disruption, including insulin resistance and mitochondrial dysfunction. The role of the  Toll-like receptor 4 (TLR4) signaling pathway in contributing to metabolic  decline with muscle disuse is unknown. Therefore, our goal was to determine  whether TLR4 is an underlying mechanism of insulin resistance, mitochondrial  dysfunction, and skeletal muscle ceramide accumulation following muscle disuse in  mice. To address this hypothesis, we subjected (n = 6-8/group) male WT and  TLR4(-/-) mice to 2 wk of hindlimb unloading (HU), while a second group of mice  served as ambulatory wild-type controls (WT CON, TLR4(-/-) CON). Mice were  assessed for insulin resistance [homeostatic model assessment-insulin resistance  (HOMA-IR), glucose tolerance], and hindlimb muscles (soleus and gastrocnemius)  were used to assess muscle sphingolipid abundance, mitochondrial respiration  [respiratory control ratio (RCR)], and NF-κB signaling. The primary finding was  that HU resulted in insulin resistance, increased total ceramides, specifically  Cer18:0 and Cer20:0, and decreased skeletal muscle mitochondrial respiration.  Importantly, TLR4(-/-) HU mice were protected from insulin resistance and altered  NF-κB signaling and were partly resistant to muscle atrophy, ceramide  accumulation, and decreased RCR. Skeletal muscle ceramides and RCR were  correlated with insulin resistance. We conclude that TLR4 is an upstream  regulator of insulin sensitivity, while partly upregulating muscle ceramides and  worsening mitochondrial respiration during 2 wk of HU.",2016,"American journal of physiology. Regulatory, integrative and comparative physiology",3,mitochondrial; ros; pgc1α; disuse; mitophagy
Effect of Cucumis melo L. peel extract supplemented postbiotics on reprograming gut microbiota and sarcopenia in hindlimb-immobilized mice.,"Postbiotics made from lactic acid bacteria may ameliorate sarcopenia via the metabolic reprogramming of gut dysbiosis. This study investigated the  anti-sarcopenic effect of postbiotics (WDK) produced from polyphenol-rich melon  peel extract (Cucumis melo L. var. makuwa, KEE) and whey with Lentilactobacillus  kefiri DH5 (DH5) in C2C12 skeletal muscle cells and hindlimb-immobilized mice.  WDK significantly ameliorated palmitate-induced atrophy of C2C12 cells, restoring  myotube length and diameter. It also upregulated the expression of myogenic genes  including Atrogin-1, Igf-1, and MyoD. Hindlimb-immobilized C57BL/6J mice were  randomly divided and orally administered 10 mL/kg body weight of saline (CON),  Whey, Whey + DH5 (WD), DH5 + KEE, Whey + DH5 + KEE postbiotic (WDK) for three  weeks (n = 10/group). Interestingly, WDK significantly improved muscle function  in hindlimb-immobilized mice by restoring both the grip strength and the mass of  the soleus muscle, which was closely related to the upregulation of the myoD  gene. WDK increased microbial diversity and modulated the distribution of  intestinal bacteria, particularly those involved in protein synthesis and the  production of butyrate. There was a significant correlation between myogenic  biomarkers and butyrate producing gut microbiota. Restoration of muscle mass and  function following postbiotic WDK is strongly related to the regulation of  myogenic genes by in part remodulating gut microbiota. In conclusion, these  findings suggest that polyphenol- and whey-based postbiotics WDK may have  potential as an effective manner to combat the progression of sarcopenia.",2023,"Food research international (Ottawa, Ont.)",9,mice; muscle atrophy; protein; immobilization; mass
The role of mTOR signaling in the regulation of protein synthesis and muscle mass during immobilization in mice.,"The maintenance of skeletal muscle mass contributes substantially to health and to issues associated with the quality of life. It has been well recognized that  skeletal muscle mass is regulated by mechanically induced changes in protein  synthesis, and that signaling by mTOR is necessary for an increase in protein  synthesis and the hypertrophy that occurs in response to increased mechanical  loading. However, the role of mTOR signaling in the regulation of protein  synthesis and muscle mass during decreased mechanical loading remains largely  undefined. In order to define the role of mTOR signaling, we employed a mouse  model of hindlimb immobilization along with pharmacological, mechanical and  genetic means to modulate mTOR signaling. The results first showed that  immobilization induced a decrease in the global rates of protein synthesis and  muscle mass. Interestingly, immobilization also induced an increase in mTOR  signaling, eIF4F complex formation and cap-dependent translation. Blocking mTOR  signaling during immobilization with rapamycin not only impaired the increase in  eIF4F complex formation, but also augmented the decreases in global protein  synthesis and muscle mass. On the other hand, stimulating immobilized muscles  with isometric contractions enhanced mTOR signaling and rescued the  immobilization-induced decrease in global protein synthesis through a  rapamycin-sensitive mechanism that was independent of ribosome biogenesis.  Unexpectedly, the effects of isometric contractions were also independent of  eIF4F complex formation. Similar to isometric contractions, overexpression of  Rheb in immobilized muscles enhanced mTOR signaling, cap-dependent translation  and global protein synthesis, and prevented the reduction in fiber size.  Therefore, we conclude that the activation of mTOR signaling is both necessary  and sufficient to alleviate the decreases in protein synthesis and muscle mass  that occur during immobilization. Furthermore, these results indicate that the  activation of mTOR signaling is a viable target for therapies that are aimed at  preventing muscle atrophy during periods of mechanical unloading.",2015,Disease models & mechanisms,9,mice; muscle atrophy; protein; immobilization; mass
Protective effect of branched chain amino acids on hindlimb suspension-induced muscle atrophy in growing rats.,"PURPOSE: The effect of BCAA (branched chain amino acid) administration on muscle atrophy during growth phases is not well known. We investigated whether BCAA  administration can prevent the muscle atrophy induced by hindlimb suspension in  growing male rats. METHODS: Male Wistar rats were assigned to 1 of 2 groups (n =  7/group): hindlimb suspension and hindlimb suspension with oral BCAA  administration (600 mg·kg(-1)·day(-1), valine 1: leucine 2: isoleucine 1). After  14 days of hindlimb suspension, the weight and mRNA levels of the soleus muscle  were measured. RESULTS: BCAA administration prevented a decrease in soleus muscle  weight. BCAA administration attenuated atrogin-1 and MuRF1 mRNA expression, which  has been reported to play a pivotal role in muscle atrophy. CONCLUSION: BCAA  could serve as an effective supplement for the prevention or treatment of muscle  atrophy, especially atrophy caused by weightlessness.",2015,Journal of exercise nutrition & biochemistry,2,soleus; hs; soleus muscle; unloading; rats
"Bed rest impairs skeletal muscle amino acid transporter expression, mTORC1 signaling, and protein synthesis in response to essential amino acids in older  adults.","Skeletal muscle atrophy during bed rest is attributed, at least in part, to slower basal muscle protein synthesis (MPS). Essential amino acids (EAA)  stimulate mammalian target of rapamycin (mTORC1) signaling, amino acid  transporter expression, and MPS and are necessary for muscle mass maintenance,  but there are no data on the effect of inactivity on this anabolic mechanism. We  hypothesized that bed rest decreases muscle mass in older adults by blunting the  EAA stimulation of MPS through reduced mTORC1 signaling and amino acid  transporter expression in older adults. Six healthy older adults (67 ± 2 yr)  participated in a 7-day bed rest study. We used stable isotope tracers, Western  blotting, and real-time qPCR to determine the effect of bed rest on MPS, muscle  mTORC1 signaling, and amino acid transporter expression and content in the  postabsorptive state and after acute EAA ingestion. Bed rest decreased leg lean  mass by ∼4% (P < 0.05) and increased postabsorptive mTOR protein (P < 0.05)  levels while postabsorptive MPS was unchanged (P > 0.05). Before bed rest acute  EAA ingestion increased MPS, mTOR (Ser(2448)), S6 kinase 1 (Thr(389),  Thr(421)/Ser(424)), and ribosomal protein S6 (Ser(240/244)) phosphorylation,  activating transcription factor 4, L-type amino acid transporter 1 and  sodium-coupled amino acid transporter 2 protein content (P < 0.05). However, bed  rest blunted the EAA-induced increase in MPS, mTORC1 signaling, and amino acid  transporter protein content. We conclude that bed rest in older adults  significantly attenuated the EAA-induced increase in MPS with a mechanism  involving reduced mTORC1 signaling and amino acid transporter protein content.  Together, our data suggest that a blunted EAA stimulation of MPS may contribute  to muscle loss with inactivity in older persons.",2012,American journal of physiology. Endocrinology and metabolism,5,older; bed; hmb; bed rest; rest
Lactobacillus gasseri CBT LGA2 alleviates muscle protein degradation and inflammation in immobilization-induced mouse.,"INTRODUCTION: Hindlimb immobilization rapidly induces skeletal muscle atrophy by reducing mechanical loading and accelerating proteolytic activity. This atrophy  is further exacerbated by inflammatory signaling, which amplifies FOXO3a-driven  expression of Atrogin-1 and MuRF1 and suppresses myogenic capacity. Emerging  evidence suggests that specific probiotic strains may counteract these catabolic  and inflammatory responses, prompting the evaluation of Lactobacillus gasseri CBT  LGA2 (LGA2) in this study. METHODS: In the present study, five probiotic strains  were screened in C2C12 myotubes and RAW264.7 macrophages to assess  anti-proteolytic and anti-inflammatory activities. Whole-genome sequencing was  conducted to determine genetic safety and functional gene profiles. In vivo  efficacy was evaluated using a hindlimb immobilization mouse model administered  with LGA2 (1 × 10(⁸) CFU/kg/day, 3 weeks), followed by assessments of muscle  mass, grip strength, fiber morphology, and molecular markers. RESULTS: LGA2  showed the strongest suppression of dexamethasone-induced muscle protein  degradation and lipopolysaccharides-induced inflammatory responses among the  screened strains. Genomic analysis identified genes related to antioxidant  defense, immune modulation, and muscle protection. In immobilized mice, LGA2  significantly improved grip strength, preserved muscle mass, and restored muscle  fiber cross-sectional area. Mechanistically, LGA2 maintained FOXO3a  phosphorylation, reduced Atrogin-1 and MuRF1 expression, and recovered myogenin  and MyHC isoforms (IIa, IIx, IIb). Additionally, LGA2 lowered TNF-α, IL-6, iNOS,  and COX-2 levels while restoring IL-10 in muscle and serum. DISCUSSION: These  findings demonstrate that LGA2 mitigates disuse-induced muscle atrophy through  coordinated anti-inflammatory, anti-proteolytic, and pro-myogenic mechanisms. Its  genomic safety and multifunctional efficacy support LGA2 as a promising probiotic  intervention for muscle health.",2025,Frontiers in microbiology,9,mice; muscle atrophy; protein; immobilization; mass
Combination of Parenteral Amino Acid Infusion and Intermittent Loading Exercise Ameliorates Progression of Postoperative Sarcopenia in Rat Model.,"Postoperative sarcopenia is associated with poor outcomes in hospitalized patients. However, few studies have focused on short-term postoperative  sarcopenia. Furthermore, the influence of nutritional management using amino  acids (AAs) comprising a peripheral parenteral nutrition (PPN) solution and its  combination with exercise (Exc) is unclear. Hence, we established a postoperative  sarcopenic rat model to evaluate the effects of parenteral AA infusion combined  with Exc on skeletal muscles and investigate the underlying mechanisms involved  in the amelioration of muscle atrophy. Male F344 rats underwent surgery followed  by hindlimb suspension (HS) for 5 days. The rats were divided into AA (-), AA  (+), AA (-)-Exc, and AA (+)-Exc groups. They were continuously administered a PPN  solution with or without AA at 98 kcal/kg/day. The Exc groups were subjected to  intermittent loading for 1 h per day. Postoperative sarcopenic rats exhibited  decreased muscle strength and mass and an upregulated ubiquitin-proteasome  system, autophagy-lysosome system, and fast-twitch fiber-related genes,  especially in the AA (-) group. The AA (+)-Exc group exhibited attenuated  decreased muscle strength, increased gastrocnemius mass, and a suppressed  upregulation of muscle atrophy- and fast-twitch fiber-related genes. Therefore,  parenteral AA infusion combined with Exc may be effective in preventing  postoperative sarcopenia in hospitalized patients.",2024,Nutrients,9,mice; muscle atrophy; protein; immobilization; mass
Inhibitory Effects of Standardized Leonurus japonicus Extract and Its Bioactive Leonurine on TNF-α-Induced Muscle Atrophy in L6 Myotubes.,"Muscle atrophy, characterized by a reduced number and size of myofibers, occurs due to immobilization, aging, and several chronic diseases. Leonurus japonicus,  belonging to the Labiatae family, is widely used as a traditional medicine in  Korea, China, and Japan. Previous studies have reported that L. japonicus has  various physiological activities, such as anti-bacteria, anti-cancer, and liver  protection. Leonurine, which is a major bioactive in L. japonicas, is known to  possess biological effects including anti-inflammation, anti-fibrosis,  anti-angiogenesis, and anti-diabetes. However, the preventive effects of L.  japonicas and leonurine on muscle have not been reported. The current study aimed  to determine the inhibitory effects of standardized L. japonicus extract (LJE)  and leonurine on muscle atrophy by clarifying their underlying molecular  mechanisms in tumor necrosis factor-alpha (TNF-α)-stimulated L6 myotubes. LJE and  leonurine stimulated the phosphatidylinositol 3-kinase/Akt pathway that was  reduced by TNF-α treatment. LJE and leonurine not only increased the mammalian  target of rapamycin pathway for protein anabolism but also decreased the mRNA  expression of E3 ubiquitin ligases by blocking the translocation of Forkhead box  O, which is closely linked with proteolysis. Additionally, LJE and leonurine  alleviated inflammatory responses by downregulating TNF-α and interleukin-6 mRNA  expression and reducing the protein expression of nuclear factor-kappa B, a major  transcriptional factor of proinflammatory cytokines. Collectively, LJE and  leonurine have potential as therapeutic candidates for inhibiting the development  of skeletal muscle atrophy by activating the PI3K/Akt pathway and reducing  inflammatory responses.",2020,Journal of microbiology and biotechnology,7,skeletal; skeletal muscle; muscle atrophy; protein; role
Repressors of mTORC1 act to blunt the anabolic response to feeding in the soleus muscle of a cast-immobilized mouse hindlimb.,"We recently reported results showing that cast immobilization of a rat hindlimb rapidly leads to development of anabolic resistance as demonstrated by failure of  oral leucine administration to activate the mechanistic target of rapamycin  complex 1 (mTORC1) and stimulate protein synthesis in the soleus muscle. The goal  of this study was to assess the possible contribution of several mTORC1  regulatory proteins to the development of anabolic resistance. To accomplish  this, 14-week-old male C57BL/6 mice (n = 21) were subjected to unilateral cast  immobilization of the hindlimb for either 1 or 3 days, and the immobilized limb  was compared to its contralateral control. The mass of the soleus muscle was  decreased in the immobilized compared to the non-immobilized limb within 72-h in  association with diminished protein synthesis. In agreement with our previous  report, a 24-h casting period was sufficient to induce anabolic resistance, as  demonstrated by blunted re-feeding-induced activation of mTORC1. Moreover,  resistance of mTORC1 activation was associated not only with upregulated  expression of REDD1, but also with altered expression of other mTORC1 regulatory  proteins, that is, Sestrin1 and DEP domain-containing mTOR interacting protein  (DEPTOR). In addition, re-feeding-induced phosphorylation of DEPTOR was  significantly impaired in the immobilized compared to the non-immobilized limb.  This work builds upon previous discoveries by our laboratory to elucidate the  blunted mTORC1 response to stimuli during disuse of skeletal muscle induced by  cast immobilization while highlighting new potential therapeutic targets for  future countermeasures against muscle atrophy.",2018,Physiological reports,8,group; immobilization; expression; protein; cast
Mitochondrial aberrations during the progression of disuse atrophy differentially affect male and female mice.,"BACKGROUND: Disuse decreases muscle size and is predictive of mortality across multiple pathologies. Detriments to mitochondrial function are hypothesized to  underlie disuse-induced muscle atrophy. Little data exist on early mechanisms  contributing to onset of these pathologies, nor is it known how they differ  between sexes. The purpose of this study was to examine differential and  conserved responses to mitochondrial quality control in male and female mice  during the development and progression of disuse-induced atrophy. METHODS: One  hundred C57BL/6J mice (50 male and 50 female) were hindlimb unloaded to induce  disuse atrophy for 0 (con), 24, 48, 72, or 168 h. At designated time-points,  extensor digitorum longus, gastrocnemius, and soleus muscles were collected for  analysis of mitochondrial quality control markers. RESULTS: One hundred  sixty-eight hours of disuse resulted in ~25% lower oxidative muscle fibre CSA in  both male (P = 0.003) and female (P = 0.02) mice without any differences due to  disuse in glycolytic fibres. In male mice, 48 h of unloading was sufficient to  result in ~67% greater mitochondrial oxidative stress as assessed by the reporter  gene pMitoTimer compared with 0 h (P = 0.002), this mitochondrial stress preceded  detectable muscle loss. However in female mice, mitochondrial oxidative stress  did not occur until 168 h of disuse (~40% greater mitochondrial oxidative stress  in 168 h compared with 0 h of disuse, P < 0.0001). Blunted oxidative stress in  female mice appeared to coincide with greater inductions of autophagy and  mitophagy in female mice (~3-fold greater BNIP3 and ~6-fold greater LC3II/I ratio  P < 0.0001 and P = 0.038 respectively). Male mice overall had greater reactive  oxygen species (ROS) production compared with female mice. Female mice had a  greater induction of ROS within 24 h of disuse (~4-fold greater compared with  0 h, P < 0.0001); whereas male mice did not have greater ROS production until  168 h of disuse (~2-fold greater, P < 0.0001). Although all muscle types  exhibited some alterations to mitochondrial quality control, such as increased  markers of mitophagy and fission, the soleus muscle in both male and female mice  exhibited consistent alterations to various markers of mitochondrial quality.  Markers of mitochondrial translation were approximately 30-50% lower within 24 h  of unloading in both male and female soleus muscle (P value ranges:  <0.0001-0.03). CONCLUSIONS: Disuse negatively affects mitochondria differentially  between sexes during development of muscle wasting. Acutely, female mice may  forgo muscle mass to maintain mitochondrial quality compared with male mice.  These differences may contribute to divergent clinical manifestations of atrophy.",2021,"Journal of cachexia, sarcopenia and muscle",3,mitochondrial; ros; pgc1α; disuse; mitophagy
The ChIP-seq-defined networks of Bcl-3 gene binding support its required role in skeletal muscle atrophy.,"NF-kappaB transcriptional activation is required for skeletal muscle disuse atrophy. We are continuing to study how the activation of NF-kB regulates the  genes that encode the protein products that cause atrophy. Using ChIP-sequencing  we found that Bcl-3, an NF-kB transcriptional activator required for atrophy,  binds to the promoters of a number of genes whose collective function describes  two major aspects of muscle wasting. By means of bioinformatics analysis of  ChIP-sequencing data we found Bcl-3 to be directing transcription networks of  proteolysis and energy metabolism. The proteolytic arm of the Bcl-3 networks  includes many E3 ligases associated with proteasomal protein degradation,  including that of the N-end rule pathway. The metabolic arm appears to be  involved in organizing the change from oxidative phosphorylation to glycolysis in  atrophying muscle. For one gene, MuRF1, ChIP-sequencing data identified the  location of Bcl-3 and p50 binding in the promoter region which directed the  creation of deletant and base-substitution mutations of MuRF1 promoter constructs  to determine the effect on gene transcription. The results provide the first  direct confirmation that the NF-kB binding site is involved in the muscle  unloading regulation of MuRF1. Finally, we have combined the ChIP-sequencing  results with gene expression microarray data from unloaded muscle to map several  direct targets of Bcl-3 that are transcription factors whose own targets describe  a set of indirect targets for NF-kB in atrophy. ChIP-sequencing provides the  first molecular explanation for the finding that Bcl3 knockout mice are resistant  to disuse muscle atrophy. Mapping the transcriptional regulation of muscle  atrophy requires an unbiased analysis of the whole genome, which we show is now  possible with ChIP-sequencing.",2012,PloS one,7,skeletal; skeletal muscle; muscle atrophy; protein; role
The effect of vitamin D on sarcopenia depends on the level of physical activity in older adults.,"OBJECTIVE: Sarcopenia in older adults is closely related to vitamin D deficiency and reduced levels of physical activity, but little has been reported on the  interaction between physical activity and the positive effects of vitamin D. The  purpose of this study was to explore the interactive effect of vitamin D and  physical activity on muscle mass and function through animal experiments and  population surveys. METHODS: Male 4-week-old C57BL/6J mice were fed different  purified diets: a vitamin D-deficient diet (with increased calcium and phosphorus  to prevent the effects of abnormal mineral levels on muscle) or a  1,25-dihydroxyvitamin D3 (1,25D)-supplemented diet. After 24 weeks on the  assigned diets, the mice were immobilized. The level of skeletal muscle atrophy  in the mice was determined by grip strength, gastrocnemius (GA) muscle mass and  muscle fiber cross-sectional area (CSA); additionally, the protein expression  levels of FOXO3a and the E3 ubiquitin ligases MuRF1 and MAFbx were detected. A  cross-sectional study included data from 4139 older adults (64.9% women, 67.9 ±  6.7 years) as part of a survey in Shenyang, Northeast China. The associations of  serum 25(OH)D3 and physical activity with timed up and go test (TUG) performance,  handgrip strength, calf circumference, and body muscle mass were assessed by a  linear regression analysis that was adjusted for covariates. RESULTS: In  activity-limited mice, vitamin D deficiency accelerated the decrease in GA muscle  weight, muscle fiber CSA, and grip strength and increased the protein expression  of MuRF1, MAFbx, and FOXO3a (all P < 0.05). In addition, 1,25D supplementation  may inhibit the grip-strength reduction induced by limited activity (P = 0.069).  Serum 25(OH)D3 and physical activity were linearly related to TUG time (P <  0.001) and handgrip strength (P < 0.05) after adjustment for sex, age, body mass  index (BMI), education level, smoking status, and serum calcium level. Serum  25(OH)D3 and physical activity had interactive effects on TUG (P < 0.001) and  handgrip strength (P < 0.05) but not calf circumference or body muscle mass in  older adults. CONCLUSIONS: The effect of vitamin D on muscle strength and  physical performance depends on physical activity level in the elderly. It is  recommended that older adults strive to avoid both physical inactivity and  vitamin D deficiency. Because physical inactivity and vitamin D deficiency may  exacerbate muscle atrophy, the biological mechanism may involve synergistic  effects of vitamin D and physical activity on the promotion of muscle protein  ubiquitination and degradation.",2020,"Journal of cachexia, sarcopenia and muscle",5,older; bed; hmb; bed rest; rest
Proteome-wide Adaptations of Mouse Skeletal Muscles during a Full Month in Space.,"The safety of space flight is challenged by a severe loss of skeletal muscle mass, strength, and endurance that may compromise the health and performance of  astronauts. The molecular mechanisms underpinning muscle atrophy and decreased  performance have been studied mostly after short duration flights and are still  not fully elucidated. By deciphering the muscle proteome changes elicited in mice  after a full month aboard the BION-M1 biosatellite, we observed that the  antigravity soleus incurred the greatest changes compared with locomotor muscles.  Proteomics data notably suggested mitochondrial dysfunction, metabolic and fiber  type switching toward glycolytic type II fibers, structural alterations, and  calcium signaling-related defects to be the main causes for decreased muscle  performance in flown mice. Alterations of the protein balance, mTOR pathway,  myogenesis, and apoptosis were expected to contribute to muscle atrophy.  Moreover, several signs reflecting alteration of telomere maintenance, oxidative  stress, and insulin resistance were found as possible additional deleterious  effects. Finally, 8 days of recovery post flight were not sufficient to restore  completely flight-induced changes. Thus in-depth proteomics analysis unraveled  the complex and multifactorial remodeling of skeletal muscle structure and  function during long-term space flight, which should help define combined sets of  countermeasures before, during, and after the flight.",2017,Journal of proteome research,6,microgravity; space; spaceflight; simulated; mitochondrial
Reactive oxygen species upregulate expression of muscle atrophy-associated ubiquitin ligase Cbl-b in rat L6 skeletal muscle cells.,"Unloading-mediated muscle atrophy is associated with increased reactive oxygen species (ROS) production. We previously demonstrated that elevated ubiquitin  ligase casitas B-lineage lymphoma-b (Cbl-b) resulted in the loss of muscle volume  (Nakao R, Hirasaka K, Goto J, Ishidoh K, Yamada C, Ohno A, Okumura Y, Nonaka I,  Yasutomo K, Baldwin KM, Kominami E, Higashibata A, Nagano K, Tanaka K, Yasui N,  Mills EM, Takeda S, Nikawa T. Mol Cell Biol 29: 4798-4811, 2009). However, the  pathological role of ROS production associated with unloading-mediated muscle  atrophy still remains unknown. Here, we showed that the ROS-mediated signal  transduction caused by microgravity or its simulation contributes to Cbl-b  expression. In L6 myotubes, the assessment of redox status revealed that oxidized  glutathione was increased under microgravity conditions, and simulated  microgravity caused a burst of ROS, implicating ROS as a critical upstream  mediator linking to downstream atrophic signaling. ROS generation activated the  ERK1/2 early-growth response protein (Egr)1/2-Cbl-b signaling pathway, an  established contributing pathway to muscle volume loss. Interestingly,  antioxidant treatments such as N-acetylcysteine and TEMPOL, but not catalase,  blocked the clinorotation-mediated activation of ERK1/2. The increased ROS  induced transcriptional activity of Egr1 and/or Egr2 to stimulate Cbl-b  expression through the ERK1/2 pathway in L6 myoblasts, since treatment with  Egr1/2 siRNA and an ERK1/2 inhibitor significantly suppressed  clinorotation-induced Cbl-b and Egr expression, respectively. Promoter and gel  mobility shift assays revealed that Cbl-b was upregulated via an Egr consensus  oxidative responsive element at -110 to -60 bp of the Cbl-b promoter. Together,  this indicates that under microgravity conditions, elevated ROS may be a crucial  mechanotransducer in skeletal muscle cells, regulating muscle mass through Cbl-b  expression activated by the ERK-Egr signaling pathway.",2018,American journal of physiology. Cell physiology,6,microgravity; space; spaceflight; simulated; mitochondrial
Preventive effect and possible mechanisms of ultrashort wave diathermy on myogenic contracture in a rabbit model.,"The purpose of this study was to determine the preventive effect of ultrashort wave diathermy on immobilization-induced myogenic contracture and to explore its  underlying mechanisms. Forty-two rabbits were randomly assigned into control  (Group C), immobilization (Group I, which was further divided into one week,  Group I-1; two weeks, Group I-2; and four weeks, Group I-4, subgroups by the  length of immobilization) and ultrashort wave prevention (Group U, which was  further divided into one week, Group U-1; two weeks, Group U-2; and four weeks,  Group U-4, by time of treatment) groups. Intervention effects were assessed by  evaluating rectus femoris cross-sectional area (CSA), knee range of motion, and  the protein levels for myogenic differentiation (MyoD) and muscle atrophy F-box  (MAFbx-1) in the rectus femoris. Compared with those of Group C, in Groups I and  U, total contracture, myogenic contracture, MyoD and MAFbx-1 levels were  significantly elevated, and CSA was significantly smaller (p < 0.05). Compared  with those of Group I at each time point, MyoD levels were significantly  elevated, MAFbx-1 levels were significantly lower, CSA was significantly larger,  and myogenic contracture was significantly alleviated in Group U (p < 0.05). In  the early stages of contracture, ultrashort wave diathermy reduces muscle atrophy  and delays the process of myogenic contracture during joint immobilization; the  mechanism of this may be explained as increased expression of MyoD triggered by  suppression of the MAFbx-1-mediated ubiquitin-proteasome pathway.",2021,Science progress,8,group; immobilization; expression; protein; cast
